run_id,machine,operation,status,month,year,n_samples,is_fault,x_mean,x_std,x_rms,x_peak,x_crest,x_kurtosis,x_min,x_max,y_mean,y_std,y_rms,y_peak,y_crest,y_kurtosis,y_min,y_max,z_mean,z_std,z_rms,z_peak,z_crest,z_kurtosis,z_min,z_max,process_name,timestamp,sampling_rate_hz,vibration_severity_score,fault_category,complaint_case_id
M01_Aug_2019_OP00_000,M01,OP00,good,Aug,2019,268288,0,-3.874869543177481,469.4061182277413,469.4221111575517,2252.0,4.797387993605106,6.768098628457065,-2012.0,2252.0,34.39363296159351,158.9310982260728,162.6100119046869,2051.0,12.612999507079454,6.686592515733086,-1868.0,2051.0,-1014.5148646230916,142.38992515003102,1024.4585405595687,1786.0,1.7433599597153735,4.033052724811183,-1786.0,-152.0,Workpiece_Loading,2019-08-21T09:01:00,2000,5.6391,normal,
M01_Aug_2019_OP00_001,M01,OP00,good,Aug,2019,268288,0,-4.080831047232825,469.3369838917128,469.3547247345082,2246.0,4.78529325825037,6.760244120645253,-1940.0,2246.0,34.439658128578245,156.54428269044695,160.28787382419142,1932.0,12.0533135408551,6.863664370093487,-1887.0,1932.0,-1014.8889029699428,142.39309087887852,1024.8293895578788,1795.0,1.7515110498288695,3.990074027089471,-1795.0,-220.0,Workpiece_Loading,2019-08-24T14:15:00,2000,5.47,normal,
M01_Aug_2019_OP00_003,M01,OP00,good,Aug,2019,268288,0,-4.016683563931298,469.25508444772737,469.27227493950295,2260.0,4.81596744723807,6.776267817302337,-2260.0,2168.0,32.2775077528626,140.61105010581082,144.2681701505739,1842.0,12.767889119807156,9.181471820853655,-1823.0,1842.0,-1014.7422285007156,136.81332133041488,1023.9236666842202,1672.0,1.6329342258631938,4.045437503279463,-1672.0,-216.0,Workpiece_Loading,2019-08-08T10:47:00,2000,5.6815,normal,
M01_Aug_2019_OP00_004,M01,OP00,good,Aug,2019,264192,0,-4.769266291182171,470.19903365382976,470.2232205558883,2324.0,4.94233355224911,6.705732026789197,-2022.0,2324.0,32.96749333817829,140.7669421834951,144.57588882207946,2131.0,14.739663835803832,9.5459218057474,-1879.0,2131.0,-1015.0247017320736,142.2544501315511,1024.944619825147,1768.0,1.7249712480091035,3.5604576555523626,-1768.0,-279.0,Workpiece_Loading,2019-08-04T08:37:00,2000,6.3309,normal,
M01_Aug_2019_OP00_005,M01,OP00,good,Aug,2019,268288,0,-5.025476353769084,468.3226581179377,468.349621030308,2008.0,4.287395376946527,6.7705018210590735,-2008.0,2004.0,32.63177257275763,143.52404992973763,147.186906650945,2039.0,13.85313440165915,9.064430699952531,-1774.0,2039.0,-1015.0949613847804,142.54178472842665,1025.054116143306,1663.0,1.6223533702366082,3.502953536985494,-1663.0,-316.0,Workpiece_Loading,2019-08-14T07:01:00,2000,5.8458,normal,
M01_Aug_2019_OP00_006,M01,OP00,good,Aug,2019,268288,0,-4.7303196564885495,468.3073245465711,468.3312141508615,2053.0,4.383649729011392,6.774830347959653,-1996.0,2053.0,32.98672695014313,147.8898066986323,151.52398846467224,1953.0,12.88904826086558,8.576484871710564,-1795.0,1953.0,-1015.3887836951336,141.02341440165122,1025.1351059559822,1713.0,1.6709992566321823,3.631188453680015,-1713.0,-322.0,Workpiece_Loading,2019-08-03T12:14:00,2000,5.5928,normal,
M01_Aug_2019_OP00_007,M01,OP00,good,Aug,2019,269312,0,-4.491036418726236,467.60832897525785,467.6298950400277,2115.0,4.522807507460493,6.781157193054034,-1924.0,2115.0,31.903056677756656,139.06711709187786,142.67959938838567,1873.0,13.127314682889873,9.569153992706877,-1698.0,1873.0,-1015.1854020615494,141.20707532790084,1024.9589448761003,1645.0,1.6049423327866577,3.645224123858749,-1645.0,-353.0,Workpiece_Loading,2019-08-17T06:35:00,2000,5.6978,normal,
M01_Aug_2019_OP00_008,M01,OP00,good,Aug,2019,268288,0,-4.018841692509542,469.1177320293231,469.1349460367297,2012.0,4.288744671437194,6.7759617409727255,-1996.0,2012.0,34.13162347924618,157.23349774134792,160.89543353777165,2014.0,12.517446615582134,7.094964021406959,-1821.0,2014.0,-1015.1868328065362,142.65602516753356,1025.1609859043438,1717.0,1.6748588988541655,3.999222153974085,-1717.0,-144.0,Workpiece_Loading,2019-08-07T19:14:00,2000,5.4462,normal,
M01_Aug_2019_OP00_009,M01,OP00,good,Aug,2019,263168,0,-3.7609929778696496,472.05156545267454,472.0665477604828,2213.0,4.687898370470496,6.658920647198077,-1950.0,2213.0,31.65757234922179,142.06153718144833,145.546151558199,1924.0,13.219174670040363,8.917967552346797,-1922.0,1924.0,-1014.960675310068,151.7597014501583,1026.2437232013217,1672.0,1.629242607968671,3.5779158302159253,-1672.0,-273.0,Workpiece_Loading,2019-08-15T14:51:00,2000,5.7759,normal,
M01_Aug_2019_OP00_010,M01,OP00,good,Aug,2019,268288,0,-4.2706569060114505,469.0794897830413,469.0989301261805,2129.0,4.538488287379661,6.753295323409607,-2035.0,2129.0,33.734091722328245,144.14661613776676,148.0413316891575,1989.0,13.435437099257555,8.695669722895346,-1883.0,1989.0,-1014.7772542938932,134.8769495420151,1023.7014542091908,1655.0,1.6166822789936226,4.10222456549281,-1655.0,-257.0,Workpiece_Loading,2019-08-28T06:48:00,2000,5.7928,normal,
M01_Aug_2019_OP00_011,M01,OP00,good,Aug,2019,268288,0,-4.051224803196565,468.65149055153023,468.66900048816655,2221.0,4.738952219341587,6.7593682588242405,-2006.0,2221.0,32.50433862118321,141.59977698696403,145.2825828238144,1998.0,13.752508808457748,9.55999382201439,-1870.0,1998.0,-1014.9802786557728,132.22839958398538,1023.5571873211054,1651.0,1.613002204909589,4.051201027018587,-1651.0,-312.0,Workpiece_Loading,2019-08-26T11:44:00,2000,5.9516,normal,
M01_Aug_2019_OP00_012,M01,OP00,good,Aug,2019,269312,0,-4.23169038141635,467.83170254049696,467.8508406590975,2096.0,4.4800603479673216,6.763004556181174,-2053.0,2096.0,33.10810881059886,146.5644961260066,150.25744039376102,2049.0,13.63659592916291,8.946783809233352,-1918.0,2049.0,-1014.8717212749524,138.12953762669434,1024.2286755449436,1682.0,1.6422113929832,3.9640588562480112,-1682.0,-286.0,Workpiece_Loading,2019-08-14T16:17:00,2000,5.842,normal,
M01_Aug_2019_OP00_013,M01,OP00,good,Aug,2019,268288,0,-3.97095285663168,469.0334530568773,469.05026228864585,2102.0,4.481396065623483,6.726249674456601,-2102.0,2055.0,33.34975846851145,148.607140986027,152.3032788286219,1838.0,12.068026467560134,7.821289531686199,-1797.0,1838.0,-1015.1018271409828,138.64797693071048,1024.5267107166803,1723.0,1.6817521514834115,3.9859260754232975,-1723.0,-327.0,Workpiece_Loading,2019-08-05T12:48:00,2000,5.3739,normal,
M01_Aug_2021_OP00_002,M01,OP00,good,Aug,2021,268288,0,-4.307740189646947,470.1178697838082,470.1376055109898,2215.0,4.7113865686037375,6.905933274882222,-1977.0,2215.0,32.21090395395992,178.83648171083934,181.7141423341689,2067.0,11.375008975354408,6.784864833003367,-1926.0,2067.0,-1013.9626968034352,162.05262710608235,1026.8307574575656,2094.0,2.039284453442695,3.542366096000668,-2094.0,-234.0,Workpiece_Loading,2021-08-11T09:05:00,2000,5.3022,normal,
M01_Aug_2021_OP00_003,M01,OP00,good,Aug,2021,269312,0,-4.124049429657795,469.33703388180186,469.3551524769552,2199.0,4.685151507115858,6.911785896500133,-1983.0,2199.0,31.36438777328897,162.82868451632044,165.82190844912094,2151.0,12.971747944029907,7.810250945078494,-2014.0,2151.0,-1014.2620343690588,156.91457991229777,1026.328241719731,2053.0,2.000334704382647,3.9121766053357576,-2053.0,-263.0,Workpiece_Loading,2021-08-13T09:22:00,2000,5.7707,normal,
M01_Feb_2019_OP00_000,M01,OP00,good,Feb,2019,266400,0,2.230003833770752,465.4129638671875,465.4183349609375,2264.0,4.864440933961093,6.88230562210083,-1940.0,2264.0,30.156625747680664,145.96343994140625,149.04612731933594,1110.0,7.447358881199179,7.638971328735352,-1110.0,1054.0,-1036.9449462890625,136.8765106201172,1045.93994140625,1813.0,1.733369124007684,4.259602069854736,-1813.0,-374.0,Workpiece_Loading,2019-02-28T17:38:00,2000,4.1128,normal,
M01_Feb_2019_OP00_001,M01,OP00,good,Feb,2019,265200,0,1.940452456474304,465.6685791015625,465.672607421875,2160.0,4.638451920027053,6.813460826873779,-1938.0,2160.0,29.955347061157227,149.45086669921875,152.42337036132812,1138.0,7.466046691542822,7.56304121017456,-1138.0,993.0,-1037.3057861328125,141.001953125,1046.84521484375,1868.0,1.7844089780539465,4.102053165435791,-1868.0,-306.0,Workpiece_Loading,2019-02-09T07:46:00,2000,4.0601,normal,
M01_Feb_2019_OP00_002,M01,OP00,good,Feb,2019,266400,0,2.2265427112579346,464.0600280761719,464.06536865234375,2258.0,4.865693827913258,6.862216949462891,-1942.0,2258.0,29.913516998291016,150.0205841064453,152.9738311767578,1085.0,7.09271639242863,7.439567565917969,-1040.0,1085.0,-1037.0621337890625,138.7814483642578,1046.306884765625,1866.0,1.7834155802367562,4.138863563537598,-1866.0,-374.0,Workpiece_Loading,2019-02-15T09:59:00,2000,4.0157,normal,
M01_Feb_2019_OP00_003,M01,OP00,good,Feb,2019,264000,0,1.828481078147888,464.7282409667969,464.7318420410156,2010.0,4.3250748456840284,6.836414813995361,-1911.0,2010.0,29.82860565185547,153.24111938476562,156.11721801757812,1056.0,6.764148204851428,6.725540637969971,-1016.0,1056.0,-1037.0845947265625,143.53741455078125,1046.970703125,1889.0,1.8042529694113785,3.881511211395264,-1889.0,-374.0,Workpiece_Loading,2019-02-13T08:35:00,2000,3.7554,normal,
M01_Feb_2019_OP00_004,M01,OP00,good,Feb,2019,265200,0,1.898239016532898,464.55615234375,464.5600280761719,2227.0,4.793783075187107,6.839366436004639,-2006.0,2227.0,29.50137710571289,149.0126495361328,151.9049072265625,1054.0,6.938551355868869,7.358879089355469,-1054.0,1044.0,-1037.2347412109375,142.92323303222656,1047.0352783203125,1852.0,1.7688038200308185,3.961424827575684,-1852.0,-370.0,Workpiece_Loading,2019-02-10T17:36:00,2000,3.9445,normal,
